Source,Target
Ludwig_Feuerbach,Karl_Marx
Ludwig_Feuerbach,Leconte_de_Lisle
James_Laxer,George_Grant_(philosopher)
Galileo_Galilei,Aristotle
Galileo_Galilei,Giordano_Bruno
Jon_Elster,Gerald_Cohen
Stephen_Pearl_Andrews,Charles_Fourier
Pope_Alexander_VI,Duns_Scotus
Abdullah_Rimawi,Zaki_al-Arsuzi
Rashid_Ahmad_Gangohi,Husain_Ahmed_Madani
Annie_Kriegel,Raymond_Aron
Muhammad_ibn_Jarir_al-Tabari,Dawud_al-Zahiri
Mark_Granovetter,Georg_Simmel
Philosophy_of_artificial_intelligence,Hubert_Dreyfus
Samuel_Johnson,William_Wollaston
Novalis,Baruch_Spinoza
Novalis,Johann_Gottlieb_Fichte
Raymond_Boudon,Raymond_Aron
Max_Stirner,Enrico_Arrigoni
Max_Stirner,Biofilo_Panclasta
Max_Stirner,John_Henry_Mackay
Max_Stirner,Thomas_Mann
Max_Stirner,Wolfi_Landstreicher
Max_Stirner,Émile_Armand
Max_Stirner,Albert_Camus
Max_Stirner,Miguel_Giménez_Igualada
Max_Stirner,Julius_Evola
Max_Stirner,Peter_Lamborn_Wilson
Max_Stirner,Saul_Newman
Max_Stirner,Renzo_Novatore
Max_Stirner,Adolf_Brand
Max_Stirner,Georg_Wilhelm_Friedrich_Hegel
Max_Stirner,Bob_Black
Max_Stirner,Carl_Schmitt
Max_Stirner,Karl_Marx
Max_Stirner,Rudolf_Steiner
Max_Stirner,Herbert_Read
Max_Stirner,Benjamin_Tucker
Max_Stirner,Emma_Goldman
Max_Stirner,Ernst_Jünger
Counter-Enlightenment,Jean-Jacques_Rousseau
Paul_Rabinow,Richard_McKeon
Tara_Smith_(philosopher),W._D._Ross
Stephen_Walt,Kenneth_Waltz
Pierre_Duhem,John_Worrall_(philosopher)
Pierre_Duhem,Blaise_Pascal
Pierre_Duhem,Stanley_Jaki
Pierre_Duhem,Thomas_Kuhn
Louis_Guilloux,Georges_Palante
Mansur_Al-Hallaj,Bayazid_Bastami
Douglas_Hofstadter,Ernest_Nagel
Norman_Geisler,Ravi_Zacharias
Hans_Küng,Georg_Wilhelm_Friedrich_Hegel
Raymond_Aron,Claude_Lefort
Raymond_Aron,Raymond_Barre
Raymond_Aron,Luc_Ferry
Raymond_Aron,Alexis_de_Tocqueville
Raymond_Aron,Marc_Fumaroli
Raymond_Aron,André_Glucksmann
Raymond_Aron,Stanley_Hoffmann
Raymond_Aron,Marcel_Gauchet
Raymond_Aron,Léon_Brunschvicg
Raymond_Aron,Henry_Kissinger
Raymond_Aron,Ernest_Gellner
Raymond_Aron,Pierre_Bourdieu
Raymond_Aron,Pierre_Manent
Raymond_Aron,Guy_Sorman
Raymond_Aron,Albert_Palle
Raymond_Aron,Jean-François_Revel
Étienne_Souriau,Isabelle_Stengers
Étienne_Souriau,Bruno_Latour
Giovanni_Botero,Jean_Bodin
Joseph_de_Maistre,Karl_Ludwig_von_Haller
Joseph_de_Maistre,Jules_Amédée_Barbey_d'Aurevilly
Joseph_de_Maistre,Juan_Donoso_Cortés
Joseph_de_Maistre,Pat_Buchanan
Joseph_de_Maistre,Julius_Evola
Joseph_de_Maistre,Francisco_Franco
Joseph_de_Maistre,Léon_Bloy
Joseph_de_Maistre,George_Fitzhugh
Joseph_de_Maistre,Paul_Claudel
Joseph_de_Maistre,Louis_Gabriel_Ambroise_de_Bonald
Joseph_de_Maistre,Carl_Schmitt
Joseph_de_Maistre,Edmund_Burke
Joseph_de_Maistre,Antonio_Rosmini-Serbati
Joseph_de_Maistre,Charles_Maurras
Joseph_de_Maistre,Charles_Baudelaire
Joseph_de_Maistre,Orestes_Brownson
Roman_Ingarden,Edmund_Husserl
Brian_Barry,H._L._A._Hart
