Number of words,54041
Number of unique words,4531
Average word frequency,11.926948
Entropy,7.652777

Word,Frequency,Proportion,Entropy Term
son,27,0.000500,0.003798
things,80,0.001480,0.009645
refuse,3,0.000056,0.000544
explain,16,0.000296,0.002406
allow,5,0.000093,0.000859
space,13,0.000241,0.002004
head,34,0.000629,0.004638
starwars,14,0.000259,0.002139
trailer,17,0.000315,0.002537
glad,25,0.000463,0.003552
got,184,0.003405,0.019348
having,48,0.000888,0.006241
wa,3,0.000056,0.000544
michael,13,0.000241,0.002004
doing,94,0.001739,0.011053
ok,51,0.000944,0.006574
meghanmccain,6,0.000111,0.001011
choice,15,0.000278,0.002273
thank,102,0.001887,0.011839
hey,65,0.001203,0.008086
puertorico,11,0.000204,0.001730
carmenyulincruz,5,0.000093,0.000859
tell,64,0.001184,0.007980
president,28,0.000518,0.003920
stop,88,0.001628,0.010455
lazy,7,0.000130,0.001160
helping,11,0.000204,0.001730
mad,41,0.000759,0.005450
advice,7,0.000130,0.001160
nasty,4,0.000074,0.000704
wouldve,8,0.000148,0.001305
thought,43,0.000796,0.005678
tears,5,0.000093,0.000859
tom,6,0.000111,0.001011
add,17,0.000315,0.002537
gm,5,0.000093,0.000859
leading,4,0.000074,0.000704
series,16,0.000296,0.002406
list,23,0.000426,0.003304
sports,16,0.000296,0.002406
problems,11,0.000204,0.001730
creating,4,0.000074,0.000704
end,36,0.000666,0.004872
described,3,0.000056,0.000544
advertising,4,0.000074,0.000704
cernovich,10,0.000185,0.001590
piers,3,0.000056,0.000544
saying,26,0.000481,0.003675
kneeling,11,0.000204,0.001730
players,29,0.000537,0.004041
honoring,7,0.000130,0.001160
flag,21,0.000389,0.003052
delusional,3,0.000056,0.000544
caught,6,0.000111,0.001011
screening,6,0.000111,0.001011
wonders,3,0.000056,0.000544
childhood,5,0.000093,0.000859
davidcorndc,7,0.000130,0.001160
yeah,51,0.000944,0.006574
married,6,0.000111,0.001011
use,40,0.000740,0.005336
art,47,0.000870,0.006129
platform,5,0.000093,0.000859
bring,24,0.000444,0.003428
jokeeee,3,0.000056,0.000544
cap,7,0.000130,0.001160
upset,9,0.000167,0.001449
pagesix,3,0.000056,0.000544
somebody,10,0.000185,0.001590
shouldve,10,0.000185,0.001590
worked,10,0.000185,0.001590
hard,52,0.000962,0.006684
flying,8,0.000148,0.001305
long,58,0.001073,0.007338
plastic,6,0.000111,0.001011
make,142,0.002628,0.015613
beats,5,0.000093,0.000859
shall,4,0.000074,0.000704
ppl,43,0.000796,0.005678
losing,19,0.000352,0.002796
shit,109,0.002017,0.012518
kinda,19,0.000352,0.002796
fun,42,0.000777,0.005565
sad,31,0.000574,0.004281
productive,6,0.000111,0.001011
morning,49,0.000907,0.006352
coach,17,0.000315,0.002537
managed,3,0.000056,0.000544
creative,14,0.000259,0.002139
director,13,0.000241,0.002004
fall,49,0.000907,0.006352
looks,48,0.000888,0.006241
noskiss,12,0.000222,0.001868
kospisa,12,0.000222,0.001868
paquiarnerva,14,0.000259,0.002139
nimalevy,12,0.000222,0.001868
carmenbarcaru,12,0.000222,0.001868
mariabjz,10,0.000185,0.001590
comments,11,0.000204,0.001730
say,111,0.002054,0.012710
self,13,0.000241,0.002004
feelings,13,0.000241,0.002004
hope,68,0.001258,0.008403
waiting,20,0.000370,0.002924
near,7,0.000130,0.001160
care,33,0.000611,0.004519
environment,6,0.000111,0.001011
video,62,0.001147,0.007767
