Number of pairs,13911.000000
Number of unique pairs,2640
Average pair frequency,5.269318
Pair entropy,7.535640

Pair,Frequency,Proportion,Entropy Term,Mutual Information
ive learned,3.000000,0.000216,0.001821,6.645304
ive putting,3.000000,0.000216,0.001821,5.664474
trying like,3.000000,0.000216,0.001821,2.900044
trying game,3.000000,0.000216,0.001821,3.857826
trying play,3.000000,0.000216,0.001821,4.981377
trying make,4.000000,0.000288,0.002345,4.461502
trying ruin,3.000000,0.000216,0.001821,7.225122
trying figure,3.000000,0.000216,0.001821,6.773137
pay attention,4.000000,0.000288,0.002345,7.586912
help people,3.000000,0.000216,0.001821,4.042614
day just,6.000000,0.000431,0.003342,2.325791
day got,5.000000,0.000359,0.002851,3.205424
day weekend,5.000000,0.000359,0.002851,4.829047
day work,3.000000,0.000216,0.001821,3.411500
day nyc,7.000000,0.000503,0.003822,3.797243
day ill,3.000000,0.000216,0.001821,3.625074
day let,3.000000,0.000216,0.001821,3.945017
day life,3.000000,0.000216,0.001821,3.072284
day wish,3.000000,0.000216,0.001821,3.866236
day tomorrow,5.000000,0.000359,0.002851,4.078080
day school,3.000000,0.000216,0.001821,4.318221
day spent,3.000000,0.000216,0.001821,5.490941
day youll,3.000000,0.000216,0.001821,4.964848
day parade,7.000000,0.000503,0.003822,6.705964
day hispanicheritagemonth,4.000000,0.000288,0.002345,6.957278
drop follow,5.000000,0.000359,0.002851,7.120762
drop twitch,5.000000,0.000359,0.002851,9.122242
drop ms,3.000000,0.000216,0.001821,7.387641
follow twitch,5.000000,0.000359,0.002851,8.555847
follow ms,5.000000,0.000359,0.002851,7.332071
follow jones,5.000000,0.000359,0.002851,6.907188
follow twitter,3.000000,0.000216,0.001821,5.684167
twitch ms,5.000000,0.000359,0.002851,9.333551
twitch jones,5.000000,0.000359,0.002851,8.908668
twitch love,5.000000,0.000359,0.002851,6.326123
ms jones,5.000000,0.000359,0.002851,7.684893
ms love,5.000000,0.000359,0.002851,5.102347
ms unitedsyngg,3.000000,0.000216,0.001821,9.045869
jones love,5.000000,0.000359,0.002851,4.677464
jones unitedsyngg,4.000000,0.000288,0.002345,8.908668
love feel,3.000000,0.000216,0.001821,2.809615
love like,7.000000,0.000503,0.003822,2.001045
love way,3.000000,0.000216,0.001821,2.654050
love right,3.000000,0.000216,0.001821,2.330985
love unitedsyngg,4.000000,0.000288,0.002345,6.326123
love days,3.000000,0.000216,0.001821,3.250348
love make,4.000000,0.000288,0.002345,2.715205
love know,3.000000,0.000216,0.001821,1.845005
love say,5.000000,0.000359,0.002851,3.281600
love gonna,3.000000,0.000216,0.001821,2.679803
love ny,3.000000,0.000216,0.001821,2.549538
love fucking,3.000000,0.000216,0.001821,2.751906
love u,9.000000,0.000647,0.004751,3.387549
love good,5.000000,0.000359,0.002851,2.442499
love nyc,3.000000,0.000216,0.001821,2.318790
love music,4.000000,0.000288,0.002345,3.800394
love going,3.000000,0.000216,0.001821,2.294836
love people,4.000000,0.000288,0.002345,2.296317
love food,3.000000,0.000216,0.001821,3.928228
love manhattan,3.000000,0.000216,0.001821,2.924925
love team,5.000000,0.000359,0.002851,3.618073
love raw,3.000000,0.000216,0.001821,2.881440
love life,5.000000,0.000359,0.002851,2.951954
love country,3.000000,0.000216,0.001821,4.289241
love best,3.000000,0.000216,0.001821,2.620714
love little,3.000000,0.000216,0.001821,3.574588
love family,4.000000,0.000288,0.002345,3.800394
love hip,3.000000,0.000216,0.001821,5.345294
love ur,3.000000,0.000216,0.001821,3.553534
love come,5.000000,0.000359,0.002851,3.115279
love star,5.000000,0.000359,0.002851,3.099279
love really,5.000000,0.000359,0.002851,2.704452
love beautiful,3.000000,0.000216,0.001821,3.330391
love w,3.000000,0.000216,0.001821,2.780344
love song,3.000000,0.000216,0.001821,3.841216
love friends,3.000000,0.000216,0.001821,3.080930
love yall,3.000000,0.000216,0.001821,2.662561
love wars,5.000000,0.000359,0.002851,3.235080
love hey,3.000000,0.000216,0.001821,3.190629
love girls,3.000000,0.000216,0.001821,3.928228
love ladybird,3.000000,0.000216,0.001821,5.815297
clarices powers,3.000000,0.000216,0.001821,9.933172
amyacker thegiftedonfox,3.000000,0.000216,0.001821,8.611416
nataliealynlind thegiftedonfox,5.000000,0.000359,0.002851,8.988711
nataliealynlind thegifted,5.000000,0.000359,0.002851,7.726469
emmadumont amyacker,3.000000,0.000216,0.001821,8.754517
emmadumont nataliealynlind,4.000000,0.000288,0.002345,8.908668
emmadumont thegiftedonfox,7.000000,0.000503,0.003822,8.839675
emmadumont thegifted,7.000000,0.000503,0.003822,7.577433
thegiftedonfox thegifted,10.000000,0.000719,0.005203,7.791007
thegiftedonfox hear,3.000000,0.000216,0.001821,6.946409
thegifted happy,4.000000,0.000288,0.002345,4.967646
thegifted mutantsunite,5.000000,0.000359,0.002851,8.196473
wont make,3.000000,0.000216,0.001821,4.461502
wont just,3.000000,0.000216,0.001821,3.035467
wont let,3.000000,0.000216,0.001821,5.347840
wont win,3.000000,0.000216,0.001821,5.141226
wont somebody,3.000000,0.000216,0.001821,7.060819
days work,4.000000,0.000288,0.002345,4.734281
days week,3.000000,0.000216,0.001821,4.800530
days gotta,3.000000,0.000216,0.001821,4.980116
past months,3.000000,0.000216,0.001821,6.803909
past years,3.000000,0.000216,0.001821,5.551146
past weeks,3.000000,0.000216,0.001821,6.755118
make feel,7.000000,0.000503,0.003822,4.500342
make like,4.000000,0.000288,0.002345,2.284858
make game,3.000000,0.000216,0.001821,2.954959
make right,4.000000,0.000288,0.002345,3.462096
make better,5.000000,0.000359,0.002851,4.060491
make work,3.000000,0.000216,0.001821,3.623774
make happy,4.000000,0.000288,0.002345,3.940726
make really,3.000000,0.000216,0.001821,3.037056
make sure,8.000000,0.000575,0.004291,5.138120
make nigga,3.000000,0.000216,0.001821,4.866967
make difference,3.000000,0.000216,0.001821,5.965579
make things,5.000000,0.000359,0.002851,4.651856
make sense,4.000000,0.000288,0.002345,5.722633
runs like,4.000000,0.000288,0.002345,4.286338
runs rain,4.000000,0.000288,0.002345,7.466284
feeling like,4.000000,0.000288,0.002345,3.816335
monday night,21.000000,0.001510,0.009806,6.119730
monday pretty,3.000000,0.000216,0.001821,5.027897
monday good,7.000000,0.000503,0.003822,4.525269
monday football,7.000000,0.000503,0.003822,6.407412
monday having,8.000000,0.000575,0.004291,6.024727
monday youre,11.000000,0.000791,0.005648,5.543062
monday friday,3.000000,0.000216,0.001821,4.194298
monday hope,15.000000,0.001078,0.007367,6.258682
night game,5.000000,0.000359,0.002851,3.465784
night just,3.000000,0.000216,0.001821,1.844918
night got,3.000000,0.000216,0.001821,2.906872
night ny,3.000000,0.000216,0.001821,3.392967
